Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-11 00:00:00-04:00,NVDA,133.97158567859756,135.74108264717918,133.62169514533127,134.76136779785156,170209500,0.0,0.0
2024-10-14 00:00:00-04:00,NVDA,136.43089368651033,139.56000161928338,136.26094423310064,138.0304412841797,232347700,0.0,0.0
2024-10-15 00:00:00-04:00,NVDA,137.8304782609884,138.53028982768672,128.70310551155586,131.56228637695312,377831000,0.0,0.0
2024-10-16 00:00:00-04:00,NVDA,133.9415846620271,136.58082718354044,131.54227882589296,135.68109130859375,264879700,0.0,0.0
2024-10-17 00:00:00-04:00,NVDA,139.30005999950754,140.84961880375567,136.83076670766295,136.8907470703125,306435900,0.0,0.0
2024-10-18 00:00:00-04:00,NVDA,138.63024003343975,138.86016981880368,137.24063917112105,137.96043395996094,176090200,0.0,0.0
2024-10-21 00:00:00-04:00,NVDA,138.090405825162,143.66880798339844,137.96043821210023,143.66880798339844,264554500,0.0,0.0
2024-10-22 00:00:00-04:00,NVDA,142.86906078072698,144.37862268295584,141.7393796377136,143.54885864257812,226311600,0.0,0.0
2024-10-23 00:00:00-04:00,NVDA,141.9892821435429,142.3891613712536,137.42060018656866,139.51998901367188,285930000,0.0,0.0
2024-10-24 00:00:00-04:00,NVDA,140.77963709898057,141.30948393843238,138.42031305269128,140.3697509765625,172354900,0.0,0.0
2024-10-25 00:00:00-04:00,NVDA,140.88959441527413,144.0886893234089,140.7596420534019,141.49942016601562,205122100,0.0,0.0
2024-10-28 00:00:00-04:00,NVDA,142.95902137870084,143.09898064959424,140.00986979275078,140.479736328125,173586700,0.0,0.0
2024-10-29 00:00:00-04:00,NVDA,140.2497716969522,142.2192081120129,138.86017082456863,141.20950317382812,157593600,0.0,0.0
2024-10-30 00:00:00-04:00,NVDA,139.49998843906093,140.28977049571748,136.77077537646986,139.300048828125,179418100,0.0,0.0
2024-10-31 00:00:00-04:00,NVDA,137.5605791178224,137.5705707608992,132.07214669412372,132.72195434570312,270039600,0.0,0.0
2024-11-01 00:00:00-04:00,NVDA,134.6613944536623,137.2706470867555,134.53144208222884,135.36119079589844,207127800,0.0,0.0
2024-11-04 00:00:00-05:00,NVDA,137.17067271068436,138.9201710380497,135.53114345978716,136.01100158691406,187528200,0.0,0.0
2024-11-05 00:00:00-05:00,NVDA,137.41058693125512,140.32974787080795,137.29062621937655,139.86988830566406,160537400,0.0,0.0
2024-11-06 00:00:00-05:00,NVDA,142.91901845044762,146.44800513885863,141.91930516184587,145.56825256347656,242043900,0.0,0.0
2024-11-07 00:00:00-05:00,NVDA,146.34803435651398,148.8872995129736,146.12809620267714,148.8373260498047,207323300,0.0,0.0
2024-11-08 00:00:00-05:00,NVDA,148.7273495355645,149.72706281958904,146.21805942983792,147.58767700195312,175665800,0.0,0.0
2024-11-11 00:00:00-05:00,NVDA,148.6373710400852,148.80733573059373,143.52885055228916,145.21835327148438,182325600,0.0,0.0
2024-11-12 00:00:00-05:00,NVDA,146.73790556674717,149.60707763368606,145.96812211424654,148.24746704101562,198634700,0.0,0.0
2024-11-13 00:00:00-05:00,NVDA,149.02727349633594,149.28719347067064,145.8581688148386,146.2280731201172,191903300,0.0,0.0
2024-11-14 00:00:00-05:00,NVDA,147.59766330614426,148.9572739334313,145.50826627914395,146.71791076660156,194463300,0.0,0.0
